지점,시작일,종료일,지점명,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))
504,2015.07.13,~,포천,,37.8704,127.1808,103,,,,
504,2013.11.21,2015.07.13,포천,동두천지역기상서비스센터(98),37.8704,127.1808,103,,,,
504,2010.10.21,2013.11.21,포천,동두천지역기상서비스센터(98),37.8657,127.1764,102.05,,,,
504,1998.03.24,2010.10.21,포천,동두천지역기상서비스센터(98),37.8915,127.202,100,,,,
504,1992.12.13,1998.03.24,포천,철원기상대(95),37.8946,127.1996,105,,,,
505,2017.01.01,~,가평조종,,37.8244,127.3454,168.53,,,,
505,2007.08.22,2017.01.01,하면,,37.8244,127.3454,168.53,,,,
505,1990.04.10,2007.08.22,현리,춘천기상대(101),37.820,127.350,152,,,,
506,2017.08.25,~,금촌,,37.7482,126.7769,35.8,,,,
506,2015.07.13,2017.08.25,금촌,,37.7483,126.777,19,,,,
506,2014.11.27,2015.07.13,금촌,파주기상대(99),37.7483,126.777,19,,,,
506,2010.12.06,2014.11.27,금촌,파주기상대(99),37.7657,126.7841,56,,,,
506,2002.01.04,2010.12.06,금촌,파주기상대(99),37.7584,126.779,34,,,,
506,1998.05.26,2002.01.04,금촌,동두천지역기상서비스센터(98),37.7584,126.779,34,,,,
506,1994.12.15,1998.05.26,금촌,서울기상관측소(108),37.7584,126.779,34,,,,
507,2015.07.13,~,창수,,38.025,127.1433,80,,,,
507,2011.06.29,2015.07.13,창수,동두천지역기상서비스센터(98),38.025,127.1433,80,,,,
507,1998.03.24,2011.06.28,창수,동두천지역기상서비스센터(98),37.9917,127.1891,84.44,,,,
507,1992.12.13,1998.03.24,창수,철원기상대(95),37.9788,127.2009,84,,,,
508,2011.08.31,~,왕산,인천기상대(112),37.467,126.361,124,,,,
508,2003.01.07,2011.08.30,왕산,인천기상대(112),37.465,126.3634,132.11,,,,
508,1990.03.16,2000.01.14,종로,서울기상관측소(108),37.570,126.970,87,,,,
509,2010.08.16,~,관악,,37.4528,126.9501,145.13,,,,
509,2004.09.04,2010.08.15,관악,서울기상관측소(108),37.450,126.9523,144.37,,,,
509,1992.09.14,2004.09.04,관악,서울기상관측소(108),37.4562,126.9507,92.36,,,,
510,2010.08.16,~,영등포 *,,37.5271,126.9071,24.41,,,,
510,1989.06.27,2010.08.15,영등포,서울기상관측소(108),37.5262,126.908,25,,,,
511,2010.09.01,~,공촌동,인천기상대(112),37.555,126.6905,45.17,,,,
511,2000.03.31,2010.08.31,부평,인천기상대(112),37.550,126.6833,49,,,,
511,1994.12.19,2000.03.31,부평,인천기상대(112),37.480,126.710,18,,,,
512,2017.08.22,~,인천연수,인천기상대(112),37.3968,126.6621,9.06,,,,
512,2000.03.29,2017.08.22,남동공단,인천기상대(112),37.3968,126.6621,9.06,,,,
512,1994.12.22,2000.03.29,남동공단,인천기상대(112),37.410,126.710,22,,,,
513,2014.11.17,~,덕적도,인천기상대(112),37.2276,126.1447,23,,,,
513,1997.07.25,2014.11.17,덕적도,인천기상대(112),37.2331,126.1468,17.6,,,,
513,1991.03.14,1997.07.25,덕적도,인천기상대(112),37.2207,126.1445,26,,,,
514,2017.08.25,~,대부도,인천기상대(112),37.2377,125.5787,10,,,,
514,2017.06.14,2017.08.25,대부도,인천기상대(112),37.2377,126.5787,10,,,,
514,1992.11.15,2017.06.14,대부도,인천기상대(112),37.2455,126.5806,32.79,,,,
515,2012.11.30,~,운평,,37.0845,126.7737,8,,,,
515,2005.11.15,2012.11.30,우정,수도권기상청(119),37.0819,126.8007,19,,,,
515,1999.05.06,2005.11.15,우정,수도권기상청(119),37.0952,126.8128,30,,,,
515,1990.03.08,1999.05.06,우정,수도권기상청(119),37.0836,126.8283,18,,,,
516,2017.08.25,~,안성,,37.0037,127.2502,48.2,,,,
516,2013.12.12,2017.08.25,안성,,37.0038,127.250,26,,,,
516,1990.06.16,2013.12.12,안성,수도권기상청(119),37.013,127.2651,45.16,,,,
517,2015.07.13,~,간성,강릉(구 105),38.3854,128.4745,4.51,,,,
517,2005.12.23,2015.07.13,간성,속초기상대(90),38.3854,128.4745,5.31,,,,
517,1991.11.01,2005.12.21,간성,속초기상대(90),38.380,128.430,30,,,,
518,2016.09.22,~,해안,춘천기상대(101),38.2696,128.1211,467,,,,
518,1990.05.23,2016.09.22,해안,춘천기상대(101),38.2847,128.1397,448,,,,
519,2015.07.13,~,사내,춘천기상대(101),38.0755,127.5194,297.73,,,,
519,2011.11.09,2015.07.13,사내,철원기상대(95),38.0753,127.5297,302,,,,
519,1999.05.14,2011.11.09,사내,철원기상대(95),38.0702,127.5235,283.06,,,,
519,1998.12.22,1999.05.14,사창,철원기상대(95),38.0667,127.5167,390,,,,
519,1998.05.14,1998.12.22,사창,철원기상대(95),38.0667,127.5167,390,,,,
519,1990.05.23,1998.05.14,사창,춘천기상대(101),38.0667,127.5167,390,,,,
520,2015.07.13,~,설악동,강릉(구 105),38.1671,128.5177,135,,,,
520,2012.12.21,2015.07.13,설악동,속초기상대(90),38.1671,128.5177,135,,,,
520,1990.05.13,2012.12.21,설악동,속초기상대(90),38.1721,128.4933,189.5,,,,
521,2015.07.13,~,강현,강릉(구 105),38.1438,128.6026,13.39,,,,
521,2002.05.17,2015.07.13,강현,속초기상대(90),38.1438,128.6026,13.39,,,,
521,1990.05.12,2002.05.17,현북,속초기상대(90),38.0147,128.7226,10,,,,
522,2012.11.13,~,화촌,춘천기상대(101),37.7871,127.9838,187,,,,
522,2007.08.21,2012.11.13,두촌,춘천기상대(101),37.8687,128.0189,220.48,,,,
522,1990.05.22,2007.08.21,두촌,춘천기상대(101),37.8675,128.0184,223,,,,
523,2010.12.10,~,주문진,강릉(구 105),37.8983,128.8211,10,,,,
523,1990.05.11,2010.12.10,주문진,강릉(구 105),37.900,128.830,34,,,,
524,2010.11.12,~,강문,강릉(구 105),37.7871,128.9231,3.33,,,,
524,1990.05.10,2010.11.12,경포대,강릉(구 105),37.8047,128.9045,9,,,,
525,2015.07.13,~,봉평,강릉(구 105),37.6123,128.3773,547.88,,,,
525,2014.05.01,2015.07.13,봉평,대관령기상대(100),37.612,128.377,547.9,,,,
525,1990.05.07,2014.05.01,봉평,대관령기상대(100),37.6161,128.3797,570.36,,,,
526,2015.07.13,~,평창,강릉(구 105),37.3779,128.3946,303.18,,,,
526,1999.05.07,2015.07.13,평창,영월기상대(121),37.3779,128.3946,303.18,,,,
526,1999.01.07,1999.05.07,평창,대관령기상대(100),37.370,128.420,310,,,,
526,1998.12.10,1999.01.07,평창,대관령기상대(100),37.375,128.400,298,,,,
526,1990.06.27,1998.12.10,평창,대관령기상대(100),37.370,128.420,310,,,,
527,2015.07.13,~,신동,강릉(구 105),37.2115,128.6423,392,,,,
527,2011.11.17,2015.07.13,신동,영월기상대(121),37.2115,128.6423,392,,,,
527,1998.04.22,2011.11.17,정선,영월기상대(121),37.4299,128.6645,388.84,,,,
527,1990.05.08,1998.04.22,정선,영월기상대(121),37.380,128.750,380,,,,
528,2015.12.23,~,백령면,백령도기상대(102),37.9788,124.7207,45,,,,
528,2011.12.13,2015.12.23,백령면,백령도기상대(102),37.9788,124.7207,45,,,,
528,2007.10.17,2011.12.12,백령면,백령도기상대(102),37.9743,124.7188,32.77,,,,
528,2000.10.05,2007.10.17,백령면,백령도기상대(102),37.9743,124.7187,32.26,,,,
528,1998.11.20,2000.07.06,백령도,인천기상대(112),37.9667,124.6667,36,,,,
528,1998.09.24,1998.11.20,백령도,인천기상대(112),37.9667,124.6667,36,,,,
529,2015.07.13,~,원덕,강릉(구 105),37.1416,129.2859,40.66,,,,
529,2011.11.11,2015.07.13,원덕,동해기상대(106),37.1413,129.2858,36,,,,
529,1990.05.09,2011.11.11,원덕,동해기상대(106),37.2325,129.3434,12.82,,,,
530,2014.12.15,~,태하,울릉도기상대(115),37.515,130.8118,178,,,,
530,2013.10.21,2014.12.15,태하,울릉도기상대(115),37.5014,130.8078,110,,,,
530,1990.05.30,2013.10.21,태하,울릉도기상대(115),37.5184,130.7977,172.79,,,,
531,2017.08.25,~,가평북면,,37.8981,127.5522,134.6,,,,
531,2017.01.01,2017.08.25,가평북면,,37.8856,127.5502,106.63,,,,
531,1991.11.15,2017.01.01,가평,,37.8856,127.5502,106.63,,,,
532,2015.07.13,~,의정부,,37.735,127.075,72,,,,
532,2010.10.29,2015.07.13,의정부,파주기상대(99),37.735,127.075,72,,,,
532,1998.04.14,2010.10.29,의정부,파주기상대(99),37.7355,127.0352,67,,,,
532,1991.11.12,1998.04.14,의정부,파주기상대(99),37.7355,127.0352,60,,,,
533,2017.08.25,~,신둔,,37.3267,127.4341,100.1,,,,
533,2015.07.13,2017.08.25,신둔,,37.3236,127.4361,103,,,,
533,2014.12.22,2015.07.13,신둔,이천지역기상서비스센터(203),37.3236,127.4361,103,,,,
533,2012.12.20,2013.05.06,하남창우,이천지역기상서비스센터(203),37.5391,127.2368,75,,,,
